id_origen;fila_original;fecha;nombre;importe_eur;tipo;categoria_principal;subcategoria;contexto;plataforma;viaje_proyecto;recurrente;fiscal_piso_malaga;categoria_original;nota_migracion
mov-001050;1051;2024-08-12;Coursera;-54.00;Gasto;Educación;Cursos y certificaciones;Personal;;;No;No aplica;Educación;
mov-001051;1052;2024-08-11;Pa hacer boloñesa otra vez;-3.99;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-001052;1053;2024-08-11;Pickeball;-14.00;Gasto;Ocio;Deporte;Personal;;;No;No aplica;Actividades;
mov-001053;1054;2024-08-09;Mini Golf Park;-7.00;Gasto;Ocio;Deporte;Personal;;;No;No aplica;Actividades;
mov-001054;1055;2024-08-09;Pan y uvas torremolinos;-1.74;Gasto;Comida;Supermercado;Personal;;;No;No aplica;Comida;
mov-001055;1056;2024-08-09;Casa Del Libro;-9.95;Gasto;Compras;Libros y papelería;Personal;;;No;No aplica;Shopping;
mov-001056;1057;2024-08-08;Boloñesa;-10.39;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-001057;1058;2024-08-08;Basic fit;-29.99;Gasto;Ocio;Deporte;Personal;;;Sí;No aplica;Salud;
mov-001058;1059;2024-08-07;Too Good to Go;-2.99;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-001059;1060;2024-08-07;Cobro alquiler;601.45;Ingreso;Piso Málaga;Ingreso alquiler;Piso Málaga;Directo/Otro;;No;Ingreso del inmueble;Alquiler;
mov-001060;1061;2024-08-06;Helado Benalmadena;-3.50;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-001061;1062;2024-08-05;iCloud;-9.99;Gasto;Suscripciones;Almacenamiento y servicios digitales;Personal;;;Sí;No aplica;Suscripciones;
mov-001062;1063;2024-08-05;Compra eroski;-4.66;Gasto;Comida;Supermercado;Personal;;;No;No aplica;Comida;
mov-001063;1064;2024-08-05;Ibi fraccionado;-41.47;Gasto;Piso Málaga;Impuestos y tasas;Piso Málaga;;;No;Gasto del inmueble - revisar deducibilidad;Utilities;
mov-001065;1066;2024-08-01;Bizum a Marta Negredo;-1.60;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-001066;1067;2024-08-01;Bizum Celia;-2.50;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-001067;1068;2024-08-01;Refresco;-1.20;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-001068;1069;2024-08-01;Comunidad;-100.41;Gasto;Piso Málaga;Comunidad;Piso Málaga;;;Sí;Gasto del inmueble - revisar deducibilidad;Utilities;
